CustomerID,OrderID,OrderDate,Product,Category,Price,Quantity
C005,O0001,2024-04-05,iPhone Case,Accessories,25,4
C002,O0002,2024-01-11,Backpack,Accessories,60,2
C018,O0003,2024-01-31,Nike Shoes,Fashion,120,3
C008,O0004,2024-01-03,Headphones,Electronics,150,1
C012,O0005,2024-03-14,Laptop,Electronics,899,1
C011,O0006,2024-01-11,Sunglasses,Fashion,75,4
C004,O0007,2024-01-27,Backpack,Accessories,60,4
C014,O0008,2024-01-10,iPhone Case,Accessories,25,2
C008,O0009,2024-04-26,Mouse,Electronics,40,3
C007,O0010,2024-03-30,Nike Shoes,Fashion,120,3
C012,O0011,2024-04-11,Backpack,Accessories,60,1
C006,O0012,2024-03-30,iPhone Case,Accessories,25,4
C012,O0013,2024-04-06,Mouse,Electronics,40,4
C017,O0014,2024-02-21,Mouse,Electronics,40,1
C003,O0015,2024-04-03,Mouse,Electronics,40,3
C014,O0016,2024-04-01,Nike Shoes,Fashion,120,3
C016,O0017,2024-01-29,Nike Shoes,Fashion,120,2
C017,O0018,2024-02-24,iPhone Case,Accessories,25,4
C012,O0019,2024-02-24,T-shirt,Fashion,30,3
C001,O0020,2024-04-16,iPhone Case,Accessories,25,3
C011,O0021,2024-03-18,Headphones,Electronics,150,2
C019,O0022,2024-02-01,Apple Watch,Electronics,199,2
C017,O0023,2024-01-31,iPhone Case,Accessories,25,2
C008,O0024,2024-04-03,Backpack,Accessories,60,4
C003,O0025,2024-01-28,Backpack,Accessories,60,2
C015,O0026,2024-03-15,T-shirt,Fashion,30,3
C010,O0027,2024-02-11,Backpack,Accessories,60,2
C007,O0028,2024-03-25,Apple Watch,Electronics,199,3
C012,O0029,2024-01-17,Backpack,Accessories,60,3
C013,O0030,2024-02-29,T-shirt,Fashion,30,4
C008,O0031,2024-03-16,Laptop,Electronics,899,1
C013,O0032,2024-01-21,Mouse,Electronics,40,3
C013,O0033,2024-01-25,Headphones,Electronics,150,2
C012,O0034,2024-04-06,Nike Shoes,Fashion,120,3
C015,O0035,2024-01-22,Nike Shoes,Fashion,120,4
C014,O0036,2024-03-22,Backpack,Accessories,60,4
C017,O0037,2024-01-25,iPhone Case,Accessories,25,4
C007,O0038,2024-04-07,Apple Watch,Electronics,199,1
C004,O0039,2024-03-26,Laptop,Electronics,899,3
C017,O0040,2024-03-31,Laptop,Electronics,899,2
C018,O0041,2024-04-28,Backpack,Accessories,60,4
C017,O0042,2024-03-19,Headphones,Electronics,150,4
C020,O0043,2024-02-26,iPhone Case,Accessories,25,1
C013,O0044,2024-02-18,Apple Watch,Electronics,199,1
